Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","26","Brunei Darussalam","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","163","Fc","Calculated data"
"TI","Trade Indices","26","Brunei Darussalam","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","166810","Fc","Calculated data"
"TI","Trade Indices","26","Brunei Darussalam","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","5613","Fc","Calculated data"
"TI","Trade Indices","26","Brunei Darussalam","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","127","Fc","Calculated data"
"TI","Trade Indices","27","Bulgaria","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","1324042","Fc","Calculated data"
"TI","Trade Indices","27","Bulgaria","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","3936341","Fc","Calculated data"
"TI","Trade Indices","27","Bulgaria","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","123","Fc","Calculated data"
"TI","Trade Indices","27","Bulgaria","65","Import Value Base Period Price","1982","Food Excl Fish","2013","2013","1000 $","929242","Fc","Calculated data"
"TI","Trade Indices","27","Bulgaria","95","Export Value Base Price","1982","Food Excl Fish","2013","2013","1000 $","3147719","Fc","Calculated data"
"TI","Trade Indices","27","Bulgaria","494","Export Unit/Value Index (2004-2006 = 100)","1982","Food Excl Fish","2013","2013","","125","Fc","Calculated data"
"TI","Trade Indices","233","Burkina Faso","65","Import Value Base Period Price","1882","Agricult.Products,Total","2013","2013","1000 $","474411","Fc","Calculated data"
"TI","Trade Indices","233","Burkina Faso","95","Export Value Base Price","1882","Agricult.Products,Total","2013","2013","1000 $","590736","Fc","Calculated data"
"TI","Trade Indices","233","Burkina Faso","494","Export Unit/Value Index (2004-2006 = 100)","1882","Agricult.Products,Total","2013","2013","","119","Fc","Calculated data"
